hunmin,jamo,chosung,simplified,traditional,intonation,priority
가,ㄱㅏ,ㄱ,咖,咖,1,1
가오,ㄱㅏㅇㅗ,ㄱㅇ,告,告,4,2
가오,ㄱㅏㅇㅗ,ㄱㅇ,膏,膏,1,4
가오,ㄱㅏㅇㅗ,ㄱㅇ,高,高,1,1
가오,ㄱㅏㅇㅗ,ㄱㅇ,糕,糕,1,5
가오,ㄱㅏㅇㅗ,ㄱㅇ,搞,搞,3,3
가오,ㄱㅏㅇㅗ,ㄱㅇ,镐,镐,3,6
가오 당,ㄱㅏㅇㅗㄷㅏㅇ,ㄱㅇㄷ,高档 ,,"1,4",1
가오 밍,ㄱㅏㅇㅗㅁㅣㅇ,ㄱㅇㅁ,高明 ,,"1,2",1
가오 볘,ㄱㅏㅇㅗㅂㅖ,ㄱㅇㅂ,告别 ,,"4,2",1
가오 샹,ㄱㅏㅇㅗㅅㅑㅇ,ㄱㅇㅅ,高尚 ,,"1,4",1
가오 수,ㄱㅏㅇㅗㅅㅜ,ㄱㅇㅅ,告诉 ,,"4,4",1
가오 수 궁 루,ㄱㅏㅇㅗㅅㅜㄱㅜㅇㄹㅜ,ㄱㅇㅅㄱㄹ,高速公路 ,,"1,4,1,4",1
가오 쉐 야,ㄱㅏㅇㅗㅅㅜㅔㅇㅑ,ㄱㅇㅅㅇ,高血压 ,,"1,4,1",1
가오 싱,ㄱㅏㅇㅗㅅㅣㅇ,ㄱㅇㅅ,高兴 ,,"1,4",1
가오 쟈오,ㄱㅏㅇㅗㅈㅑㅇㅗ,ㄱㅇㅈㅇ,高招 ,,"1,1",1
가오 쟝,ㄱㅏㅇㅗㅈㅑㅇ,ㄱㅇㅈ,高涨 ,,"1,3",1
가오 졔,ㄱㅏㅇㅗㅈㅖ,ㄱㅇㅈ,告诫 ,,"4,4",1
가오 졘,ㄱㅏㅇㅗㅈㅖㄴ,ㄱㅇㅈ,稿件 ,,"3,4",1
가오 지,ㄱㅏㅇㅗㅈㅣ,ㄱㅇㅈ,高级 ,,"1,2",1
가오 챠오,ㄱㅏㅇㅗㅊㅑㅇㅗ,ㄱㅇㅊㅇ,高超 ,,"1,1",2
가오 챠오,ㄱㅏㅇㅗㅊㅑㅇㅗ,ㄱㅇㅊㅇ,高潮 ,,"1,2",1
가오 츠,ㄱㅏㅇㅗㅊㅡ,ㄱㅇㅊ,告辞 ,,"4,2",1
가오 카오,ㄱㅏㅇㅗㅋㅏㅇㅗ,ㄱㅇㅋㅇ,高考 ,,"1,3",1
가오 탸오,ㄱㅏㅇㅗㅌㅑㅇㅗ,ㄱㅇㅌㅇ,高挑 ,,"1,3",1
가오 ᅗᅥᆼ,ㄱㅏㅇㅗㅍ`ㅓㅇ,ㄱㅇㅍ`,高峰 ,,"1,1",1
가이,ㄱㅏㅇㅣ,ㄱㅇ,盖,蓋,4,3
가이,ㄱㅏㅇㅣ,ㄱㅇ,概,槩,4,4
